time,x,ema_signal,fir_signal
11.15625,2111.0,2136.442018867804,2158.8570572423837
11.1875,2161.0,2147.370320471631,2158.644495836088
11.21875,2160.0,2152.990527861756,2158.57527926075
11.25,2131.0,2143.204742963274,2158.4317592654693
11.28125,2160.0,2150.678632344617,2157.8543063184507
11.3125,2160.0,2154.8266409512626,2156.552747824355
11.34375,2155.0,2154.903785727951,2154.440988712921
11.375,2154.0,2154.5016010790127,2151.8086495392363
11.40625,2175.0,2163.623388598852,2149.2935434217034
11.4375,2159.0,2161.565980672363,2147.5993819809273
11.46875,2159.0,2160.424119273161,2147.1841911991464
11.5,2158.0,2159.3453861966045,2148.1441331714987
11.53125,2155.0,2157.411689339116,2150.2042777166494
11.5625,2146.0,2152.3334875832093,2152.8626495663625
11.59375,2157.0,2154.410085608681,2155.5970312688237
11.625,2158.0,2156.0075975128184,2157.9700041745305
11.65625,2160.0,2157.784216619614,2159.638933177098
11.6875,2183.0,2169.005240223886,2160.369021929957
11.71875,2147.0,2159.2129083242567,2160.0452634474864
11.75,2178.0,2167.5731641199623,2158.8045434398587
11.78125,2170.0,2168.653106086579,2157.2523709370053
11.8125,2172.0,2170.1424738780515,2156.151754187207
11.84375,2174.0,2171.859073002319,2156.0495644348102
11.875,2174.0,2172.811785516287,2157.147310365392
11.90625,2176.0,2174.230540961539,2159.255869351323
11.9375,2173.0,2173.682950233654,2161.8899591224194
11.96875,2182.0,2177.384037379678,2164.539652217529
12.0,2182.0,2179.4381407457213,2166.8985608511825
12.03125,2175.0,2177.463168113876,2168.8556990743596
12.0625,2178.0,2177.702058303201,2170.466300205494
12.09375,2175.0,2176.499642358277,2171.883194848967
12.125,2172.0,2174.4973015088435,2173.2304721590885
12.15625,2176.0,2175.166002337408,2174.5409806027374
12.1875,2174.0,2174.647131297261,2175.7657584551444
12.21875,2175.0,2174.80415786998,2176.781289756562
12.25,2174.0,2174.446307617839,2177.4342962317446
12.28125,2175.0,2174.6927007279005,2177.6257337027473
12.3125,2174.0,2174.384448903985,2177.315496548844
12.34375,2179.0,2176.4383691417115,2176.6297235950933
12.375,2173.0,2174.90829487365,2175.8130689524046
12.40625,2176.0,2175.394103654876,2175.0993257743935
12.4375,2173.0,2174.328727528456,2174.6482277818895
12.46875,2172.0,2173.292443778293,2174.495866666093
12.5,2151.0,2163.372306296953,2174.5803544972546
12.53125,2174.0,2168.101629994809,2174.811908257265
12.5625,2177.0,2172.061404647119,2175.0917694705226
